6000;125,488835;6000;27,342305;6000;12,340108;6000;19,586537;6000;13,560880;6000;12,668379
6100;106,039916;6100;25,204252;6100;13,045537;6100;20,747745;6100;13,775879;6100;13,125354
6200;146,609246;6200;29,996974;6200;13,934880;6200;21,889741;6200;14,607098;6200;13,272365
6300;122,447036;6300;26,134605;6300;14,270119;6300;23,120868;6300;15,478168;6300;14,125210
6400;164,470501;6400;35,021772;6400;15,836443;6400;25,012296;6400;16,012597;6400;15,697951
6500;332,803162;6500;31,384793;6500;67,989829;6500;32,842387;6500;18,076291;6500;16,017864
6600;323,606899;6600;37,900168;6600;70,551746;6600;30,388111;6600;18,956302;6600;17,316959
6700;266,831472;6700;31,134250;6700;74,224934;6700;31,498574;6700;19,271051;6700;17,559088
6800;313,137899;6800;41,076014;6800;79,214065;6800;32,454019;6800;20,097460;6800;17,942757
6900;268,338261;6900;37,720995;6900;81,154314;6900;35,073820;6900;25,391827;6900;23,486638
7000;300,011391;7000;43,558241;7000;84,147841;7000;36,371918;7000;21,400146;7000;19,477190
7100;255,346950;7100;37,647954;7100;86,557151;7100;37,640585;7100;23,020996;7100;20,925138
7200;257,548392;7200;36,130503;7200;25,926931;7200;34,526272;7200;22,316916;7200;20,767493
7300;309,667181;7300;44,912856;7300;96,802705;7300;41,507257;7300;25,739623;7300;22,686140
7400;369,500440;7400;50,613451;7400;39,152908;7400;38,297710;7400;23,868692;7400;21,757882
7500;551,135541;7500;44,186278;7500;105,615174;7500;44,301665;7500;26,241765;7500;24,000749
7600;469,089452;7600;56,561269;7600;40,613064;7600;40,296623;7600;25,248226;7600;24,351613
7700;580,677161;7700;52,395380;7700;115,729060;7700;48,708458;7700;36,109945;7700;34,563350
7800;442,621225;7800;62,166396;7800;39,171879;7800;44,147282;7800;26,958247;7800;26,410621
7900;599,773927;7900;51,350355;7900;123,308379;7900;59,234981;7900;30,373501;7900;26,588645
